,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,SaleType,SaleCondition,HouseAge,RemodAge,GarageAge,SalePrice
0,RL,4.174387269895637,9.041921720351219,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,150,856,GasA,Ex,Y,SBrkr,856,854,7.444248649496705,1,2,1,Gd,8,Typ,0,NA,Attchd,RFn,2,548,TA,TA,Y,0,61,NA,WD,Normal,18,18,18.0,12.247694320220994
1,RL,4.382026634673881,9.169518377455928,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,284,1262,GasA,Ex,Y,SBrkr,1262,0,7.140453043101158,0,2,0,TA,6,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,298,0,NA,WD,Normal,45,45,45.0,12.109010932687042
2,RL,4.219507705176107,9.328123407632566,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,920,GasA,Ex,Y,SBrkr,920,866,7.487733761436444,1,2,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,42,NA,WD,Normal,20,19,20.0,12.31716669303576
3,RL,4.0943445622221,9.164296433474776,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,540,756,GasA,Gd,Y,SBrkr,961,756,7.448333860897476,1,1,0,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,TA,TA,Y,0,35,NA,WD,Abnorml,106,51,23.0,11.84939770159144
4,RL,4.430816798843313,9.565213693968287,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,490,1145,GasA,Ex,Y,SBrkr,1145,1053,7.6953031349635665,1,2,1,Gd,9,Typ,1,TA,Attchd,RFn,3,836,TA,TA,Y,192,84,NA,WD,Normal,21,21,21.0,12.429216196844383
5,RL,4.442651256490317,9.55499334068759,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,64,796,GasA,Ex,Y,SBrkr,796,566,7.216709486709457,1,1,1,TA,5,Typ,0,NA,Attchd,Unf,2,480,TA,TA,Y,40,30,NA,WD,Normal,28,26,28.0,11.870599909242044
6,RL,4.31748811353631,9.218705288307811,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,1686,GasA,Ex,Y,SBrkr,1694,0,7.434847875211999,1,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,TA,Y,255,57,NA,WD,Normal,17,16,17.0,12.634603026569334
7,RL,4.249208678464876,9.247828816387175,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,216,1107,GasA,Ex,Y,SBrkr,1107,983,7.644919344958857,1,2,1,TA,7,Typ,2,TA,Attchd,RFn,2,484,TA,TA,Y,235,204,NA,WD,Normal,48,48,48.0,12.206072645530174
8,RM,3.9318256327243257,8.719317375506371,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,952,952,GasA,Gd,Y,FuseF,1022,752,7.480992162869525,0,2,0,TA,8,Min1,2,TA,Detchd,Unf,2,468,Fa,TA,Y,90,0,NA,WD,Abnorml,90,71,90.0,11.77452020265869
9,RL,3.912023005428146,8.911934336161426,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,140,991,GasA,Ex,Y,SBrkr,1077,0,6.981934677156389,1,1,0,TA,5,Typ,2,TA,Attchd,RFn,1,205,Gd,TA,Y,0,4,NA,WD,Normal,82,71,82.0,11.678439903447801
10,RL,4.248495242049359,9.323669057283185,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,6.946975992135418,1,1,0,TA,5,Typ,0,NA,Detchd,Unf,1,384,TA,TA,Y,0,0,NA,WD,Normal,56,56,56.0,11.771436160121729
